beat_idx_end,t_end_s,slope_bpm_per_s,T,L,CSI,ModCSI,CSI_raw,modcsi_filt_times_slope,csi_times_slope
49,49.7890625,0.07203549621493932,0.0671007491605464,0.24297169139690455,3.62099819207035,0.8798000552724664,1.0447122398258388,0.06337683355148316,0.075256364597675
50,50.650390625,0.08332860952896118,0.0671007491605464,0.25539585243134677,3.8061550076033024,0.9720762026526846,1.0644840205010981,0.08100175832324089,0.08870197329415472
51,51.53125,0.09307338825360444,0.06637595753904117,0.26687106324276694,4.02059831808525,1.0729813480194912,1.0826804738357791,0.09986600959309397,0.1007687400959139
52,52.47265625,0.106774872722285,0.0658992295698127,0.27794123574037327,4.21767048802788,1.1722645473881723,1.092991449656586,0.12516839784421913,0.11670402292362775
53,53.361328125,0.12308160846731876,0.06245472624153755,0.28717656823113713,4.598155904494879,1.3204826328445798,1.1163783247201533,0.1625271264036708,0.13740563986460716
54,54.24609375,0.1478101815864833,0.06245472624153755,0.29312301069139896,4.6933679535760735,1.3757341448347487,1.119796058957657,0.2033475137627495,0.16551725881435964
55,55.111328125,0.1754357125874466,0.06274490640724718,0.3005926769674457,4.790710420642632,1.4400524699168062,1.0944630542583702,0.25263663122316743,0.19200790582445043
56,55.94140625,0.21020279254448523,0.06424200600556167,0.3139477882349922,4.886954934249914,1.5342486928118422,1.0630643428782423,0.3225033596867753,0.22345909352747467
57,56.734375,0.25281434868875996,0.04446812904717976,0.3399552930218728,7.644920087849598,2.5989310485937116,1.1228364506915898,0.6570470603372152,0.2838691659655932
58,57.498046875,0.2826782811341849,0.03924443441779535,0.3661944352149197,9.33111766413607,3.417003362942268,1.1719539695762606,0.9659126372662498,0.3312859336882022
59,58.26171875,0.30369449849498137,0.03924443441779534,0.38793527492108926,9.885102962400714,3.834780135342195,1.201344736792421,1.1646016300412647,0.3648417873597597
60,59.013671875,0.3255076875639415,0.03920871074196236,0.40700289966610204,10.380420369969347,4.224861190330596,1.2322002167953576,1.3752247963431536,0.4010906431848442
61,59.7578125,0.34709271185468366,0.039113288092984894,0.42482253235595846,10.861335189872515,4.614139920128527,1.2638706482380344,1.6015343377543638,0.4386802907304763
62,60.494140625,0.368438945733293,0.035830354547126506,0.4452463536362379,12.426512638902855,5.53285944088612,1.3086642273541604,2.038520899290579,0.48216286824524135
63,61.22265625,0.3938819356552749,0.0355949223712905,0.4678507442168543,13.143749530809618,6.14931299978921,1.3593158844739814,2.422103307307119,0.5354099717435739
64,61.939453125,0.420080128299263,0.03567029878170232,0.4885822042340787,13.69717162236682,6.692194303028453,1.4124854887615466,2.8112578414197893,0.5933570853397977
65,62.67578125,0.4454478967022207,0.03567029878170232,0.5067497659069986,14.206490643889545,7.199135808150992,1.4596508723327652,3.2068399038145015,0.6501984110001919
66,63.6328125,0.4690144554956732,0.0357299043926461,0.5227892546265047,14.631700350536194,7.649295720175186,1.4276470192262787,3.587630267123348,0.669587089362434
67,64.244140625,0.461772017973356,0.06830145900581107,0.5252873599693346,7.690719460687411,4.039837721769275,1.3717290253608299,1.8654840170662832,0.6334260801534952
68,65.119140625,0.44376330904039263,0.07314934414525717,0.520896399176583,7.120998899760562,3.7093026854256865,1.3418552701970936,1.6460524339169171,0.5954661349559524
69,66.080078125,0.42465976733961847,0.07314934414525717,0.5175363583776879,7.07506491582459,3.661603331821601,1.418338881385131,1.5549356189813328,0.6023114593777444
70,67.017578125,0.40655481052455317,0.07256878461623574,0.5154710994894033,7.1032070085693215,3.6614979266080634,1.4422311905360958,1.4885995957881855,0.5863460284010031
71,67.974609375,0.39165961705139984,0.07256878461623574,0.5141984704105893,7.085670142194282,3.6434407489502822,1.446069303417478,1.426988608483333,0.566366949606274
72,68.916015625,0.37621542647678574,0.07256878461623574,0.5129081127757302,7.067888975792187,3.625177595881959,1.4482069887201163,1.36384773528882,0.5448378098880002
73,69.83203125,0.360291713715359,0.0716569066534338,0.5104972863599889,7.124188165545462,3.636878726028906,1.4504394200350923,1.3103372687758863,0.5225813042847548
74,70.7109375,0.3382104000937381,0.07168370050943298,0.5067498171163369,7.069247451164339,3.58233985302766,1.4432101467868126,1.2115845949642277,0.4881086811641104
75,71.609375,0.3152425986258741,0.0715938653743796,0.5025570677187892,7.019554889106923,3.527726921760665,1.427367044813437,1.1120898020582877,0.4499668963999224
76,72.5625,0.28788741408197455,0.07178065401672494,0.4981069474909228,6.939292408437287,3.456509759313631,1.4139837606007233,0.9950856563579095,0.40706812839324796
77,73.521484375,0.25958145491029594,0.07178065401672494,0.4939335107479211,6.881150882699317,3.3988310134778295,1.4069322294489819,0.8822734994728106,0.36521351508055305
78,74.484375,0.23035630263108167,0.07172423433366083,0.4901679376750259,6.834063022475315,3.34983857766788,1.3865350591151573,0.7716564291625343,0.3193970896861359
79,75.4453125,0.20159332695917678,0.07172423433366083,0.4868115903462475,6.787267858191445,3.3041206601521464,1.5098813622832268,0.6660886765546227,0.3043820071363298
80,76.384765625,0.17469824803519432,0.07177848484894588,0.48361774356676024,6.737642130291673,3.258443284011998,1.5328847822890184,0.5692443330389412,0.26779228590570175
81,77.275390625,0.154481346873067,0.0725762937479042,0.4799612430573672,6.613195828441255,3.1740776904004604,1.5263771158029273,0.4903357966928169,0.23579679268546358
82,78.1640625,0.13354766948216526,0.0725762937479042,0.47579122790905426,6.555738841690215,3.1191630333388685,1.5156285891403594,0.4165569538373272,0.20240866588023715
83,79.060546875,0.111929772435882,0.07248112059788762,0.47100817609056056,6.4983567059294,3.06077913964567,1.672914657652393,0.3425923125770345,0.18724895693568377
