py_idx,lv_idx,delta_s
1,91,-0.026060624877068506
2,93,0.02823487512292644
4,96,-0.003583249877074479
5,97,0.03333050012292205
13,107,-0.05102524987707113
15,108,-0.04920587487707451
16,109,0.03567150012293041
17,110,-0.04050299987706296
18,111,0.018600000122930282
20,115,0.0763908751229394
21,116,-0.0568376248770619
24,119,-0.016697499877068367
26,121,-0.022352749877072142
27,122,0.018118000122925082
28,123,-0.0591188748770719
29,124,-0.056087124877066685
31,126,-0.041456874877070504
33,128,0.037578375122933494
34,129,0.005919875122927465
41,137,-0.06545049987708751
42,139,-0.07438474987708332
44,141,0.013273000122921985
45,142,0.03295350012292886
48,145,0.07450875012291647
49,146,0.034871250122918696
50,147,-0.020287749877084593
52,149,0.04311137512290486
53,151,0.006977125122901384
54,152,0.034184750122904006
59,157,-0.012790874877097735
61,159,0.07697487512290024
64,163,-0.04338024987708877
65,164,0.03279962512290524
67,166,0.006796750122916251
68,167,-0.02096174987708821
75,174,-0.07682237487709642
76,175,-0.0705658748770901
77,176,-0.04647662487708715
79,178,0.0017973751229192203
81,181,-0.07225024987707229
83,182,0.018490500122922526
84,183,-0.01117862487707555
85,184,-0.0015249998770769935
87,186,-0.0014212498770689308
88,187,-0.013518499877065437
91,190,0.02189850012292993
98,198,-0.07433649987707724
99,200,-0.04768449987707868
100,201,-0.017240749877075245
104,205,0.011222875122925302
105,206,0.03651375012292135
114,216,-0.02999937487706461
116,219,-0.0747292498770662
119,223,0.006557625122937338
120,225,-0.04978624987705871
121,226,0.04138162512293775
126,232,0.02626975012293542
127,233,0.018884000122938005
128,235,0.03201675012293492
129,236,0.04728362512292961
133,241,-0.057810499877092525
136,243,-0.029588374877093315
137,244,-0.03627537487709276
138,245,-0.004657124877098795
145,251,-0.017071749877132447
147,253,0.0792301251228622
148,254,0.045986875122864035
150,256,-0.06097849987713744
157,261,0.03722325012286376
163,267,0.04831625012286622
164,268,0.010434125122870341
166,270,0.05610837512287503
174,279,0.045965125122876316
177,283,0.02973987512285703
178,284,-0.018344749877144295
185,290,0.05798962512287176
190,295,-0.007595624877154705
191,296,0.014052375122844296
192,297,-0.004314374877168348
193,298,0.014241000122837022
202,308,0.07485100012286239
204,310,-0.0311072498771523
207,314,0.05798750012283449
208,315,-0.07474624987716538
210,317,-0.05896349987716576
211,318,-0.03988912487716334
212,319,0.07879512512283782
214,322,-0.023769499877147382
218,326,-0.018333999877114593
219,327,-0.0536237498771186
220,328,-6.137487710589085e-05
226,334,0.06210450012287083
227,335,0.06633312512286693
228,336,0.02155675012286906
234,342,0.030032250122843607
235,343,0.03401850012284058
236,344,-0.014000624877155587
238,346,0.027412375122850108
240,349,-0.015940999877159356
245,353,0.028529750122828545
246,354,-0.028996374877181097
252,360,-0.030860624877192322
253,361,-0.03730262487718505
254,362,-0.06631849987718397
255,363,-0.010806624877176318
256,364,-0.051230249877164624
259,366,0.029036250122828733
261,368,-0.05695937487715241
263,369,0.02135075012284915
264,370,0.025926000122836967
265,371,-0.038523249877158605
266,372,-0.039566624877153345
269,375,-0.00038512487716957367
273,379,0.050721000122820215
279,384,-0.07266062487715885
280,385,-0.039373624877157454
285,389,-0.009037624877151984
290,394,-0.042053499877113154
291,395,0.03810762512287624
292,396,0.06391737512288387
294,398,0.015560375122902315
295,399,-0.06593149987710945
298,402,-0.021941124877116636
299,403,0.01351137512287437
303,406,-0.06844474987713056
304,407,0.07881650012288333
305,408,0.020999625122897214
307,410,-0.01565549987711279
309,412,-0.06533187487710279
312,414,-0.02143499987710129
315,416,0.07970875012290435
318,418,0.06090725012290932
320,420,-0.04270399987709084
325,424,-0.02449562487709045
326,425,0.05920537512290025
329,427,0.03057500012289438
330,428,0.01645612512288608
335,432,-0.05348624987712469
338,434,-0.06641974987709887
339,435,-0.06610149987710656
341,436,0.00999300012290405
342,437,0.000556000122912792
346,439,0.02832487512290527
347,440,0.0659771251229131
348,441,-0.03362187487709889
358,450,-0.033848374877095466
361,452,0.01716075012291185
362,453,0.0008971251229183963
365,456,0.022185125122916816
366,458,-0.02519662487708274
367,459,0.05828087512290381
368,460,-0.06853087487709786
376,510,0.07935287512302125
379,512,-0.07845637487696422
388,519,-0.046803999876914304
391,521,0.03972375012310181
392,522,-0.016126749876889335
408,539,-0.015320999876905717
416,547,-0.0057499998769117155
417,548,-0.034125499876921594
420,551,-0.06587449987694072
421,552,-0.06804449987694738
422,553,0.034237000123056305
423,554,0.06252100012306983
425,556,0.026953875123069793
426,557,0.053778125123074005
427,558,-0.008377874876913438
433,564,-0.0029721248768908026
434,565,0.023215125123101643
435,566,-0.05428924987688788
436,567,0.0332457501231147
437,568,-0.03964437487687178
438,569,0.02162750012311676
440,572,0.0453030001230843
444,577,-0.07815737487689489
445,578,-0.04074537487690577
446,579,0.03988425012309449
447,580,0.014510250123066726
453,587,-0.01606974987691956
460,594,0.05461925012309621
463,598,-0.00862537487694226
464,599,0.04555812512307966
466,602,-0.06170362487694092
471,609,-0.07726699987688335
472,610,0.010978750123115333
474,612,0.005378000123073434
478,617,-0.07197924987690385
479,619,-0.05838087487688881
487,627,0.07608650012309681
488,629,0.04559187512307972
489,630,-0.001933374876898597
491,632,0.07691425012308173
492,633,0.005166375123053513
493,635,-0.07653674987693648
494,636,0.03961937512303848
495,637,-0.07174649987695148
496,638,0.05986087512303584
497,639,-0.03299662487694377
501,642,0.007679500123003891
503,645,-0.05613087487699886
506,647,0.0017747501229905538
509,650,-0.0531204998769681
513,653,-0.042345374876958886
515,654,-0.032827499876987076
517,655,0.06308950012299874
522,658,-0.05530249987697289
525,660,0.03097000012303397
533,666,-0.0614279998769689
536,669,0.007276625123040503
538,670,0.03199825012302426
540,672,-0.029822749876984744
543,674,0.039702625123027246
544,675,-0.04508774987698416
545,676,-0.0356401248769771
548,678,0.025606125123033507
550,680,0.06924225012301122
555,685,-0.07685737487702227
556,686,0.0031901251229555783
560,691,-0.06820749987701902
562,692,0.06096250012296878
564,695,-0.008594749877033792
565,696,0.06082150012298371
566,697,-0.0360548748770384
567,698,-0.057689999877027276
568,699,-0.03750949987704644
569,700,0.02287800012294383
570,701,0.03665012512294652
572,703,-0.069072499877052
573,704,0.010155000122949787
574,705,0.042868250122921836
575,706,-0.011163749877084683
576,707,0.01735962512293554
577,708,0.0070890001229599875
578,709,0.004716375122939098
581,712,-0.0462137498770403
583,714,0.07103762512298317
590,722,-0.041199874877008824
603,735,0.0409343751229585
604,736,0.028239625122978396
606,738,0.02771062512294975
607,739,0.004998875122964819
608,740,0.004925750122993122
610,742,0.01169850012297502
611,743,-0.04734299987700297
615,747,-0.07259812487700401
617,749,-0.05559749987696705
620,752,-0.03480112487699216
624,755,0.0700315001230365
625,756,0.07826537512301002
626,758,-0.06819074987703289
627,759,0.05096425012294503
628,760,0.02558825012295074
629,761,0.006071375122928657
630,762,-0.07409324987708032
633,764,-0.03580224987706515
636,766,-0.06958037487709134
642,769,0.016406625122897367
647,771,0.0401801251229017
650,773,-0.027560749877068247
662,779,-0.05040424987703318
664,780,-0.0018533748770437342
669,783,0.02512125012293609
685,786,0.003167125122899961
687,787,-0.03977499987712463
696,789,0.06769962512282746
709,792,-0.0670657498772016
721,795,-0.0616367498771524
722,796,0.06727000012284634
725,797,0.06531687512284634
728,798,0.07557475012282566
731,800,0.037015125122877635
736,802,0.06951750012285629
737,803,0.07446125012285165
742,807,0.005248250122861009
748,811,-0.03334887487716287
750,812,0.04327875012285176
752,813,0.053377000122850404
755,815,0.0050220001228353794
757,817,-0.07877512487721106
759,818,0.04527275012276277
763,821,-0.05255674987722614
771,826,-0.025290124877187736
774,829,-0.007229749877183167
775,830,0.007243250122826339
778,832,-0.02662599987718295
781,835,-0.06756199987717082
783,836,-0.008122624877159978
784,837,-0.07560399987715982
785,838,0.04067012512285828
786,839,-0.018334874877155016
788,840,0.016796750122864523
793,846,-0.03514137487718472
797,850,0.008523875122818936
798,852,-0.01536787487714264
799,853,-0.01598999987714933
805,861,0.0646647501228017
807,864,-0.04108024987715453
808,865,-0.05341712487717132
810,867,-0.01949562487715184
811,868,0.07168375012287242
812,870,-0.02237487487712997
813,871,0.0785701251228943
814,872,0.036678125122875826
815,873,0.06438087512287893
817,876,-0.05876474987712754
818,878,-0.01923199987714952
820,880,0.03755637512284693
821,881,0.04118575012284964
827,887,-0.013742249877225277
828,889,-0.0677276248771932
829,890,-0.017994124877191098
830,891,-0.04561424987718965
832,893,-0.011800999877209506
