peak_sample,peak_time_s
46889,91.580078125
47078,91.94921875
47369,92.517578125
47532,92.8359375
47707,93.177734375
47941,93.634765625
48131,94.005859375
48274,94.28515625
48444,94.6171875
48675,95.068359375
48900,95.5078125
49043,95.787109375
49305,96.298828125
49600,96.875
49744,97.15625
49967,97.591796875
50189,98.025390625
50436,98.5078125
50598,98.82421875
50861,99.337890625
51028,99.6640625
51233,100.064453125
51440,100.46875
51713,101.001953125
51993,101.548828125
52219,101.990234375
52387,102.318359375
52580,102.6953125
52899,103.318359375
53110,103.73046875
53289,104.080078125
53466,104.42578125
53610,104.70703125
53875,105.224609375
54013,105.494140625
54188,105.8359375
54334,106.12109375
54624,106.6875
54830,107.08984375
55003,107.427734375
55212,107.8359375
55382,108.16796875
55655,108.701171875
55953,109.283203125
56157,109.681640625
56438,110.23046875
56568,110.484375
56758,110.85546875
56931,111.193359375
57138,111.59765625
57384,112.078125
57528,112.359375
57659,112.615234375
57899,113.083984375
58039,113.357421875
58209,113.689453125
58396,114.0546875
58707,114.662109375
58851,114.943359375
59015,115.263671875
59282,115.78515625
59484,116.1796875
59656,116.515625
59868,116.9296875
60133,117.447265625
60355,117.880859375
60616,118.390625
60747,118.646484375
60956,119.0546875
61139,119.412109375
61351,119.826171875
61631,120.373046875
61907,120.912109375
62069,121.228515625
62313,121.705078125
62517,122.103515625
62682,122.42578125
62916,122.8828125
63101,123.244140625
63272,123.578125
63476,123.9765625
63682,124.37890625
63905,124.814453125
64051,125.099609375
64186,125.36328125
64400,125.78125
64605,126.181640625
64763,126.490234375
64998,126.94921875
65168,127.28125
65342,127.62109375
65578,128.08203125
65912,128.734375
66040,128.984375
66207,129.310546875
66436,129.7578125
66602,130.08203125
66854,130.57421875
67083,131.021484375
67339,131.521484375
67594,132.01953125
67778,132.37890625
67912,132.640625
68153,133.111328125
68310,133.41796875
68589,133.962890625
68770,134.31640625
68968,134.703125
69158,135.07421875
69387,135.521484375
69518,135.77734375
69698,136.12890625
69908,136.5390625
70058,136.83203125
70224,137.15625
70376,137.453125
70540,137.7734375
70699,138.083984375
70862,138.40234375
70991,138.654296875
71185,139.033203125
71385,139.423828125
71518,139.68359375
71736,140.109375
71935,140.498046875
72153,140.923828125
72363,141.333984375
72589,141.775390625
72760,142.109375
72953,142.486328125
73103,142.779296875
73285,143.134765625
73461,143.478515625
73650,143.84765625
73806,144.15234375
73969,144.470703125
74111,144.748046875
74287,145.091796875
74521,145.548828125
74915,146.318359375
75127,146.732421875
75321,147.111328125
75497,147.455078125
75680,147.8125
75808,148.0625
76016,148.46875
85570,167.12890625
86355,168.662109375
86577,169.095703125
86807,169.544921875
86979,169.880859375
87222,170.35546875
87389,170.681640625
87543,170.982421875
87805,171.494140625
87974,171.82421875
88118,172.10546875
88289,172.439453125
88489,172.830078125
88631,173.107421875
88774,173.38671875
88944,173.71875
89113,174.048828125
89286,174.38671875
89454,174.71484375
89602,175.00390625
89868,175.5234375
90011,175.802734375
90181,176.134765625
90453,176.666015625
90596,176.9453125
90763,177.271484375
91067,177.865234375
91280,178.28125
91420,178.5546875
91621,178.947265625
91792,179.28125
92005,179.697265625
92148,179.9765625
92349,180.369140625
92516,180.6953125
92760,181.171875
92930,181.50390625
93102,181.83984375
93347,182.318359375
93515,182.646484375
93658,182.92578125
93897,183.392578125
94097,183.783203125
94240,184.0625
94412,184.3984375
94582,184.73046875
94825,185.205078125
94996,185.5390625
95124,185.7890625
95336,186.203125
95480,186.484375
95678,186.87109375
95919,187.341796875
96065,187.626953125
96233,187.955078125
96403,188.287109375
96576,188.625
96751,188.966796875
96891,189.240234375
97057,189.564453125
97303,190.044921875
97473,190.376953125
97742,190.90234375
97958,191.32421875
98157,191.712890625
98324,192.0390625
98540,192.4609375
98784,192.9375
99053,193.462890625
99226,193.80078125
99390,194.12109375
99637,194.603515625
99877,195.072265625
100050,195.41015625
100218,195.73828125
100393,196.080078125
100535,196.357421875
100701,196.681640625
100948,197.1640625
101148,197.5546875
101378,198.00390625
101531,198.302734375
101670,198.57421875
101870,198.96484375
102044,199.3046875
102186,199.58203125
102389,199.978515625
102626,200.44140625
102841,200.861328125
103012,201.1953125
103221,201.603515625
103425,202.001953125
103695,202.529296875
103851,202.833984375
104079,203.279296875
104322,203.75390625
104591,204.279296875
104831,204.748046875
105072,205.21875
105246,205.55859375
105488,206.03125
105632,206.3125
105900,206.8359375
106034,207.09765625
106216,207.453125
106414,207.83984375
106689,208.376953125
106829,208.650390625
107069,209.119140625
107212,209.3984375
107409,209.783203125
107583,210.123046875
107723,210.396484375
107896,210.734375
108036,211.0078125
108311,211.544921875
108453,211.822265625
108719,212.341796875
108866,212.62890625
109035,212.958984375
109306,213.48828125
109547,213.958984375
109692,214.2421875
109935,214.716796875
110131,215.099609375
110273,215.376953125
110446,215.71484375
110614,216.04296875
110788,216.3828125
111001,216.798828125
111201,217.189453125
111341,217.462890625
111515,217.802734375
111758,218.27734375
111922,218.59765625
112096,218.9375
112340,219.4140625
112580,219.8828125
112752,220.21875
112959,220.623046875
113165,221.025390625
113337,221.361328125
113508,221.6953125
113646,221.96484375
113820,222.3046875
113991,222.638671875
114205,223.056640625
114345,223.330078125
114481,223.595703125
114716,224.0546875
114930,224.47265625
115115,224.833984375
115304,225.203125
115475,225.537109375
115637,225.853515625
115785,226.142578125
116056,226.671875
116198,226.94921875
116397,227.337890625
116540,227.6171875
116808,228.140625
116981,228.478515625
117332,229.1640625
117469,229.431640625
117635,229.755859375
117778,230.03515625
118049,230.564453125
118218,230.89453125
118362,231.17578125
118505,231.455078125
118701,231.837890625
118874,232.17578125
119047,232.513671875
119189,232.791015625
119430,233.26171875
119601,233.595703125
119871,234.123046875
120010,234.39453125
120184,234.734375
120327,235.013671875
120496,235.34375
120633,235.611328125
120837,236.009765625
121009,236.345703125
121297,236.908203125
121494,237.29296875
121694,237.68359375
121868,238.0234375
122007,238.294921875
122148,238.5703125
122392,239.046875
122658,239.56640625
122860,239.9609375
123025,240.283203125
123176,240.578125
123316,240.8515625
123504,241.21875
123641,241.486328125
123830,241.85546875
123972,242.1328125
124208,242.59375
124442,243.05078125
124626,243.41015625
124797,243.744140625
124968,244.078125
125211,244.552734375
125452,245.0234375
125624,245.359375
125794,245.69140625
125966,246.02734375
126181,246.447265625
126450,246.97265625
126692,247.4453125
126932,247.9140625
127102,248.24609375
127345,248.720703125
127489,249.001953125
127689,249.392578125
128030,250.05859375
128173,250.337890625
128415,250.810546875
128658,251.28515625
128925,251.806640625
129070,252.08984375
129242,252.42578125
129411,252.755859375
129653,253.228515625
129825,253.564453125
129994,253.89453125
130166,254.23046875
130379,254.646484375
130549,254.978515625
130749,255.369140625
130893,255.650390625
131063,255.982421875
131206,256.26171875
131375,256.591796875
131548,256.9296875
131720,257.265625
131889,257.595703125
132058,257.92578125
132261,258.322265625
132471,258.732421875
132652,259.0859375
132916,259.6015625
133057,259.876953125
133298,260.34765625
133471,260.685546875
133612,260.9609375
133781,261.291015625
133952,261.625
134124,261.9609375
134267,262.240234375
134506,262.70703125
134778,263.23828125
134946,263.56640625
135091,263.849609375
135262,264.18359375
135434,264.51953125
135645,264.931640625
135846,265.32421875
136016,265.65625
136187,265.990234375
136429,266.462890625
136670,266.93359375
136912,267.40625
137041,267.658203125
137326,268.21484375
137500,268.5546875
137669,268.884765625
137854,269.24609375
138002,269.53515625
138154,269.83203125
138356,270.2265625
138521,270.548828125
138810,271.11328125
138960,271.40625
139090,271.66015625
139296,272.0625
139486,272.43359375
139635,272.724609375
139876,273.1953125
140114,273.66015625
140287,273.998046875
140454,274.32421875
140727,274.857421875
140871,275.138671875
141453,276.275390625
141625,276.611328125
141766,276.88671875
141966,277.27734375
142181,277.697265625
142351,278.029296875
142635,278.583984375
142794,278.89453125
143006,279.30859375
143178,279.64453125
143349,279.978515625
143518,280.30859375
143690,280.64453125
143862,280.98046875
144003,281.255859375
144273,281.783203125
144421,282.072265625
144586,282.39453125
144855,282.919921875
144999,283.201171875
145241,283.673828125
145426,284.03515625
145598,284.37109375
145737,284.642578125
145896,284.953125
146081,285.314453125
146305,285.751953125
146480,286.09375
146678,286.48046875
146822,286.76171875
146953,287.017578125
147193,287.486328125
147335,287.763671875
147618,288.31640625
147886,288.83984375
148131,289.318359375
148301,289.650390625
148516,290.0703125
148784,290.59375
148961,290.939453125
149097,291.205078125
149274,291.55078125
149441,291.876953125
149613,292.212890625
149780,292.5390625
150023,293.013671875
150193,293.345703125
150440,293.828125
150608,294.15625
150850,294.62890625
151022,294.96484375
151163,295.240234375
151433,295.767578125
151676,296.2421875
151816,296.515625
151977,296.830078125
152161,297.189453125
152403,297.662109375
152609,298.064453125
152744,298.328125
152885,298.603515625
153042,298.91015625
153256,299.328125
153399,299.607421875
153532,299.8671875
153711,300.216796875
153984,300.75
154154,301.08203125
154398,301.55859375
154637,302.025390625
154780,302.3046875
154953,302.642578125
155125,302.978515625
155292,303.3046875
155533,303.775390625
155774,304.24609375
155948,304.5859375
156194,305.06640625
156466,305.59765625
156631,305.919921875
156776,306.203125
156944,306.53125
157186,307.00390625
157329,307.283203125
157596,307.8046875
157801,308.205078125
157986,308.56640625
158185,308.955078125
158353,309.283203125
158568,309.703125
158766,310.08984375
158908,310.3671875
159080,310.703125
159223,310.982421875
159493,311.509765625
159664,311.84375
159906,312.31640625
160047,312.591796875
160231,312.951171875
160390,313.26171875
160522,313.51953125
160801,314.064453125
161045,314.541015625
161250,314.94140625
161388,315.2109375
161700,315.8203125
161884,316.1796875
162040,316.484375
162213,316.822265625
162343,317.076171875
162553,317.486328125
162695,317.763671875
162938,318.23828125
163075,318.505859375
163410,319.16015625
163594,319.51953125
163766,319.85546875
163982,320.27734375
164144,320.59375
164349,320.994140625
164518,321.32421875
164688,321.65625
164831,321.935546875
165003,322.271484375
165144,322.546875
165345,322.939453125
165489,323.220703125
165630,323.49609375
165790,323.80859375
166000,324.21875
166144,324.5
166311,324.826171875
166555,325.302734375
166757,325.697265625
166900,325.9765625
167042,326.25390625
167182,326.52734375
167383,326.919921875
167649,327.439453125
167792,327.71875
168036,328.1953125
168279,328.669921875
168449,329.001953125
168620,329.3359375
168756,329.6015625
169006,330.08984375
169196,330.4609375
169406,330.87109375
169543,331.138671875
169686,331.41796875
169931,331.896484375
170174,332.37109375
170441,332.892578125
170657,333.314453125
170841,333.673828125
171023,334.029296875
171227,334.427734375
171418,334.80078125
171720,335.390625
171923,335.787109375
172067,336.068359375
172214,336.35546875
172408,336.734375
172549,337.009765625
172695,337.294921875
172905,337.705078125
173065,338.017578125
173206,338.29296875
173491,338.849609375
173719,339.294921875
173902,339.65234375
174059,339.958984375
174376,340.578125
174515,340.849609375
174688,341.1875
174857,341.517578125
175101,341.994140625
175755,343.271484375
176922,345.55078125
177065,345.830078125
177650,346.97265625
177889,347.439453125
178960,349.53125
179400,350.390625
179544,350.671875
179954,351.47265625
180198,351.94921875
180340,352.2265625
180542,352.62109375
180712,352.953125
180854,353.23046875
181094,353.69921875
181366,354.23046875
181509,354.509765625
181678,354.83984375
181882,355.23828125
182051,355.568359375
182233,355.923828125
182405,356.259765625
182605,356.650390625
182747,356.927734375
182988,357.3984375
183160,357.734375
183331,358.068359375
183474,358.34765625
183742,358.87109375
183946,359.26953125
184159,359.685546875
184300,359.9609375
184500,360.3515625
184641,360.626953125
184784,360.90625
184970,361.26953125
185126,361.57421875
185326,361.96484375
185537,362.376953125
185709,362.712890625
185877,363.041015625
186094,363.46484375
186265,363.798828125
186535,364.326171875
186677,364.603515625
186947,365.130859375
187149,365.525390625
187334,365.88671875
187502,366.21484375
187745,366.689453125
187917,367.025390625
188160,367.5
188328,367.828125
188501,368.166015625
188674,368.50390625
188814,368.77734375
188984,369.109375
189156,369.4453125
189329,369.783203125
189470,370.05859375
189681,370.470703125
189883,370.865234375
190026,371.14453125
190224,371.53125
190396,371.8671875
190539,372.146484375
190782,372.62109375
190949,372.947265625
191122,373.28515625
191254,373.54296875
191435,373.896484375
191708,374.4296875
191848,374.703125
192020,375.0390625
192163,375.318359375
192433,375.845703125
192576,376.125
192774,376.51171875
192989,376.931640625
193161,377.267578125
193403,377.740234375
193571,378.068359375
193816,378.546875
194087,379.076171875
194229,379.353515625
194400,379.6875
194544,379.96875
194813,380.494140625
194954,380.76953125
195126,381.10546875
195269,381.384765625
195427,381.693359375
195638,382.10546875
195780,382.3828125
195984,382.78125
196193,383.189453125
196363,383.521484375
196508,383.8046875
196677,384.134765625
196820,384.4140625
197090,384.94140625
197336,385.421875
197503,385.748046875
197677,386.087890625
197818,386.36328125
198092,386.8984375
198232,387.171875
198474,387.64453125
198742,388.16796875
198886,388.44921875
199130,388.92578125
199300,389.2578125
199471,389.591796875
199613,389.869140625
199784,390.203125
200028,390.6796875
200298,391.20703125
200441,391.486328125
200611,391.818359375
200755,392.099609375
201024,392.625
201268,393.1015625
201410,393.37890625
201679,393.904296875
201823,394.185546875
202067,394.662109375
202336,395.1875
202478,395.46484375
202750,395.99609375
202920,396.328125
203062,396.60546875
203275,397.021484375
203544,397.546875
203718,397.88671875
203889,398.220703125
204059,398.552734375
204205,398.837890625
204387,399.193359375
204543,399.498046875
204729,399.861328125
204857,400.111328125
205060,400.5078125
205212,400.8046875
205403,401.177734375
205712,401.78125
205968,402.28125
206166,402.66796875
206338,403.00390625
206483,403.287109375
206652,403.6171875
206836,403.9765625
207033,404.361328125
207237,404.759765625
207478,405.23046875
207634,405.53515625
207892,406.0390625
208096,406.4375
208376,406.984375
208605,407.431640625
208895,407.998046875
209060,408.3203125
209219,408.630859375
209348,408.8828125
209613,409.400390625
209886,409.93359375
210082,410.31640625
210283,410.708984375
210540,411.2109375
210684,411.4921875
210901,411.916015625
211522,413.12890625
211650,413.37890625
216240,422.34375
216382,422.62109375
216551,422.951171875
216852,423.5390625
217038,423.90234375
217196,424.2109375
217452,424.7109375
217621,425.041015625
217805,425.400390625
217968,425.71875
218111,425.998046875
218277,426.322265625
218481,426.720703125
218690,427.12890625
218861,427.462890625
219004,427.7421875
219247,428.216796875
219417,428.548828125
219588,428.8828125
219761,429.220703125
219903,429.498046875
220172,430.0234375
220387,430.443359375
220657,430.970703125
220798,431.24609375
220970,431.58203125
221209,432.048828125
221411,432.443359375
221555,432.724609375
221725,433.056640625
221895,433.388671875
222039,433.669921875
222242,434.06640625
222449,434.470703125
222593,434.751953125
222793,435.142578125
222935,435.419921875
223108,435.7578125
223277,436.087890625
223520,436.5625
223757,437.025390625
